id_trabajador;edad;genero;nivel_educativo;num_hijos;tipo_cargo;capacitado;jornada;antiguedad;empresa;Accidentado
2;43;1;universitario;2;0;0;mixta;5;32;0
3;27;1;tecnico;1;0;0;diurna;7;120;1
4;64;0;bachiller;1;0;1;diurna;8;98;0
5;45;1;maestria;1;1;1;nocturna;6;49;1
6;28;0;tecnico;1;0;0;mixta;6;108;0
7;47;0;bachiller;0;0;0;mixta;13;44;1
8;51;0;especializacion;0;1;0;nocturna;10;140;1
9;49;0;tecnico;1;1;0;diurna;11;116;0
10;35;1;tecnico;2;0;1;diurna;19;97;1
11;63;1;tecnico;1;0;1;nocturna;11;69;1
12;46;0;bachiller;1;0;0;mixta;21;14;0
15;57;0;tecnico;3;0;1;nocturna;18;22;1
16;39;1;tecnico;2;0;1;diurna;12;139;1
17;40;1;maestria;0;1;1;diurna;6;1;0
18;54;1;bachiller;2;0;0;nocturna;9;40;0
19;52;1;tecnico;3;1;0;diurna;10;42;0
20;49;1;bachiller;0;1;0;nocturna;14;79;0
21;54;1;tecnico;0;0;0;mixta;13;34;0
22;52;0;tecnico;0;1;0;mixta;13;62;0
23;41;1;tecnico;0;0;1;diurna;15;93;1
25;49;0;tecnico;0;0;1;nocturna;15;100;1
26;39;0;tecnico;2;1;0;diurna;11;147;0
27;38;1;bachiller;1;0;0;diurna;13;16;0
29;33;1;tecnico;1;0;1;diurna;6;80;0
30;46;1;bachiller;2;0;0;diurna;9;123;0
31;60;0;bachiller;1;0;0;diurna;7;32;0
32;38;0;bachiller;1;0;1;diurna;13;94;0
33;46;0;especializacion;0;1;1;mixta;10;140;1
34;39;0;tecnico;1;0;1;nocturna;10;28;1
36;34;1;tecnico;1;1;0;mixta;8;52;0
37;34;0;tecnico;3;0;0;diurna;14;141;0
38;39;1;bachiller;0;0;0;diurna;6;142;0
39;57;0;tecnico;1;0;1;mixta;9;62;1
40;51;0;bachiller;0;0;1;nocturna;11;112;1
41;38;1;maestria;0;1;0;nocturna;15;135;0
42;36;0;bachiller;2;0;1;nocturna;7;44;1
43;50;1;bachiller;0;0;0;diurna;9;75;1
44;48;1;bachiller;1;0;0;mixta;5;132;0
45;30;1;maestria;1;1;0;mixta;8;52;0
46;29;1;universitario;0;0;0;mixta;8;40;0
47;45;0;maestria;0;1;0;diurna;15;77;0
48;52;1;tecnico;0;1;1;diurna;12;27;0
49;38;1;tecnico;0;0;0;diurna;10;144;1
50;53;0;tecnico;2;0;0;mixta;14;17;0
51;46;0;bachiller;0;0;1;diurna;9;21;0
52;31;0;bachiller;0;0;0;diurna;10;11;0
